species,decimalLongitude,decimalLatitude
Juniperus_convallium,98.61972,31.59167
Juniperus_convallium,99.72,31.81
Juniperus_convallium,100.59,31.98
Juniperus_convallium,100.5939,31.9756
Juniperus_convallium,99.7178,31.8131
Juniperus_convallium,100.5467,32.5769
Juniperus_convallium,103.9042,33.845
Juniperus_convallium,97.33,30.17
Juniperus_convallium,97.3336,30.1711
Juniperus_convallium,90.88,29.37
Juniperus_convallium,90.87,29.32
Juniperus_convallium,89.97,29.33
Juniperus_convallium,99.60611,29.12306
Juniperus_convallium,89.98333,29.35
Juniperus_convallium,92.12556,29.29139
Juniperus_convallium,89.95222,29.32333
Juniperus_convallium,90.14111,29.35472
Juniperus_convallium,92.17,29.27
Juniperus_convallium,92.12,29.28
Juniperus_convallium,89.95,29.32
Juniperus_convallium,92,29.23
Juniperus_convallium,92.13,29.28
Juniperus_convallium,92.62,29.13
Juniperus_convallium,90.88,29.35
Juniperus_convallium,91.98,29.3
Juniperus_convallium,91.1,29.65
Juniperus_convallium,102.83,30.88
Juniperus_convallium,97.27,30.17
Juniperus_convallium,97.47,31.25
Juniperus_convallium,100.72,31.57
Juniperus_convallium,96.97,31.08
Juniperus_convallium,98.57,31.73
Juniperus_convallium,102.65,31.95
Juniperus_convallium,102.6,31.83
Juniperus_convallium,102.85,31.57
Juniperus_convallium,102.87,30.98
Juniperus_convallium,94.05,31.91
Juniperus_convallium,92.63,29.87
Juniperus_convallium,95.76,29.85
Juniperus_convallium,101.96,30.05
Juniperus_convallium,99.99,31.62
Juniperus_convallium,100.97,32.26
Juniperus_convallium,100.67,31.39
Juniperus_convallium,98.82,31.21
Juniperus_convallium,100.2984,29.03701
Juniperus_convallium,101.9648,30.05531
Juniperus_convallium,98.58,31.8
Juniperus_convallium,97.56,30.65
Juniperus_convallium,97.18,31.13
Juniperus_convallium,98.21,31.49
Juniperus_convallium,102.2063,31.90584
Juniperus_convallium,100.3114,30.93917
Juniperus_convallium,101.8657,30.14136
Juniperus_convallium,99.79,28.93
Juniperus_convallium,100.31,30.93
Juniperus_convallium,99.10774,30.00459
Juniperus_convallium,96.91,30.05
Juniperus_convallium,99.1,30
Juniperus_convallium,103.599,32.63798
Juniperus_convallium,102.8146,30.36812
Juniperus_convallium,102.54,30.91
Juniperus_convallium,98.58091,31.80612
Juniperus_convallium,98.59311,29.67991
Juniperus_convallium,90.05,29.34083
Juniperus_convallium,90.88333,29.36667
