species,decimalLongitude,decimalLatitude
Juniperus_indica,75.07,34.83
Juniperus_indica,75.83,33.33
Juniperus_indica,76.17,32.97
Juniperus_indica,76.97,32.57
Juniperus_indica,77,32.53
Juniperus_indica,78.27,31.55
Juniperus_indica,78.5,31.67
Juniperus_indica,79.605301,30.728041
Juniperus_indica,80.15,30.38
Juniperus_indica,80.18,30.33
Juniperus_indica,80.27,30.23
Juniperus_indica,80.27,30.28
Juniperus_indica,80.9,30.13
Juniperus_indica,82.666667,29.166667
Juniperus_indica,82.833333,29.166667
Juniperus_indica,82.9,29.43
Juniperus_indica,82.97,29.38
Juniperus_indica,83.68,28.75
Juniperus_indica,83.7,28.83
Juniperus_indica,83.741389,28.831667
Juniperus_indica,83.75,28.88
Juniperus_indica,83.83,28.72
Juniperus_indica,83.83,28.98
Juniperus_indica,83.9,28.1
Juniperus_indica,83.92,28.78
Juniperus_indica,84.023585,28.665298
Juniperus_indica,84.05,29.12
Juniperus_indica,84.07,28.65
Juniperus_indica,84.15994,28.60705
Juniperus_indica,84.233333,28.533333
Juniperus_indica,84.47,28.08
Juniperus_indica,84.472222,28.634444
Juniperus_indica,84.645556,28.652222
Juniperus_indica,84.983333,28.683333
Juniperus_indica,85.29,28.85
Juniperus_indica,85.3,28.55
Juniperus_indica,85.570556,28.221944
Juniperus_indica,85.733333,28.216667
Juniperus_indica,86.45,28.17
Juniperus_indica,86.606667,27.949722
Juniperus_indica,86.613611,27.8225
Juniperus_indica,86.64949,27.978048
Juniperus_indica,86.709028,27.920806
Juniperus_indica,86.733333,27.858611
Juniperus_indica,86.797778,27.861944
Juniperus_indica,86.85,27.733333
Juniperus_indica,87.05,27.98
Juniperus_indica,87.083333,27.75
Juniperus_indica,87.116667,27.816667
Juniperus_indica,87.12,27.98
Juniperus_indica,87.15,29.15
Juniperus_indica,87.22,27.97
Juniperus_indica,87.76,28.36
Juniperus_indica,87.8911,27.6658
Juniperus_indica,87.917918,27.640682
Juniperus_indica,88.133333,27.516667
Juniperus_indica,88.15,27.45
Juniperus_indica,88.183333,27.55
Juniperus_indica,88.541222,27.774696
Juniperus_indica,88.554993,27.722593
Juniperus_indica,88.604722,27.931111
Juniperus_indica,88.62,27.63
Juniperus_indica,88.83,27.33
Juniperus_indica,88.87,27.67
Juniperus_indica,88.9,27.48
Juniperus_indica,89.02,27.17
Juniperus_indica,89.28,27.75
Juniperus_indica,89.58,27.07
Juniperus_indica,89.733333,28.116667
Juniperus_indica,90.57,28.87
Juniperus_indica,91.09,30.47
Juniperus_indica,92,29
Juniperus_indica,92.13,29.28
Juniperus_indica,93.24,29.88
Juniperus_indica,95.76,29.85
Juniperus_indica,96.91,30.05
Juniperus_indica,97.46,28.66
Juniperus_indica,97.84,29.67
Juniperus_indica,98.911543,28.48611
Juniperus_indica,98.933333,27.5
Juniperus_indica,98.948889,28.484444
Juniperus_indica,99.016667,28.366667
Juniperus_indica,99.083333,28.316667
Juniperus_indica,99.166667,28.583333
Juniperus_indica,99.2,28.5
Juniperus_indica,99.28717,27.177166
Juniperus_indica,99.333333,26.5
Juniperus_indica,99.6061,29.1231
Juniperus_indica,99.706013,27.82308
Juniperus_indica,99.79929,28.932073
Juniperus_indica,100.087778,29.155
Juniperus_indica,100.298406,29.037008
Juniperus_indica,102.35,29.22
