species,decimalLongitude,decimalLatitude
Juniperus_pingii,100.33,27.17
Juniperus_pingii,101.838,30.0403
Juniperus_pingii,102.95,30.93
Juniperus_pingii,102.87,30.98
Juniperus_pingii,102.93,30.92
Juniperus_pingii,102.65,31.95
Juniperus_pingii,102.67,31.87
Juniperus_pingii,102.3,27.17
Juniperus_pingii,94.36,29.63
Juniperus_pingii,101.96,30.05
Juniperus_pingii,95.76,29.85
Juniperus_pingii,99.706013,27.82308
Juniperus_pingii,96.91,30.05
Juniperus_pingii,97.46,28.66
Juniperus_pingii,100.298406,29.037008
Juniperus_pingii,103.132181,28.328636
Juniperus_pingii,103.248771,27.696857
Juniperus_pingii,102.539939,27.376188
Juniperus_pingii,102.507677,28.6398
Juniperus_pingii,98.58,31.8
Juniperus_pingii,98.593111,29.679906
Juniperus_pingii,99.79,28.93
Juniperus_pingii,92.59,29.14
Juniperus_pingii,91.26,29.89
Juniperus_pingii,101.5,27.42
Juniperus_pingii,98.911543,28.48611
Juniperus_pingii,101.279419,27.928607
Juniperus_pingii,103.571742,28.262715
Juniperus_pingii,102.17,28.54
Juniperus_pingii,102.75,30.06
Juniperus_pingii,102.81,30.36
Juniperus_pingii,102.54,30.91
Juniperus_pingii,97.18,31.13
Juniperus_pingii,101.96483,30.055305
Juniperus_pingii,99.28717,27.177166
Juniperus_pingii,101.507299,29.000343
Juniperus_pingii,100.17643,26.56023
