species,decimalLongitude,decimalLatitude
Juniperus_przewalskii,103.695,34.065833
Juniperus_przewalskii,103.7,34.07
Juniperus_przewalskii,100.62,34.65
Juniperus_przewalskii,99.67,34.75
Juniperus_przewalskii,99.8,35.5
Juniperus_przewalskii,100.63,34.65
Juniperus_przewalskii,100.22,34.75
Juniperus_przewalskii,100.557778,34.563333
Juniperus_przewalskii,100.705278,31.696111
Juniperus_przewalskii,102.65,31.95
Juniperus_przewalskii,99.686944,34.716667
Juniperus_przewalskii,100.711944,34.714722
Juniperus_przewalskii,100.626944,34.658333
Juniperus_przewalskii,100.71,34.71
Juniperus_przewalskii,100.61,35.14
Juniperus_przewalskii,99.67,34.56
Juniperus_przewalskii,103.59895,32.637983
Juniperus_przewalskii,102.544402,32.790891
Juniperus_przewalskii,102.52,35.2
Juniperus_przewalskii,99.56,35.55
Juniperus_przewalskii,102.06,35.39
Juniperus_przewalskii,103.5,34.58
Juniperus_przewalskii,102.521732,35.20256
Juniperus_przewalskii,100.55,34.93
