species,decimalLongitude,decimalLatitude
Juniperus_recurva,85.56155,28.21065
Juniperus_recurva,85.38135,28.09184
Juniperus_recurva,85.391735,28.403126
Juniperus_recurva,85.21674,28.5208355
Juniperus_recurva,91.7983094,27.8726342
Juniperus_recurva,90.11666667,27.43333333
Juniperus_recurva,87.26666667,27.91666667
Juniperus_recurva,87.2,27.95
Juniperus_recurva,85.98333333,28.11666667
Juniperus_recurva,91.013168,28.092343
Juniperus_recurva,87.472586,27.917344
Juniperus_recurva,88.17,27.5
Juniperus_recurva,89.75,27.48
Juniperus_recurva,85.58,28.22
Juniperus_recurva,89.77,27.92
Juniperus_recurva,89,27.5
Juniperus_recurva,85.864722,27.96
Juniperus_recurva,78.411398,31.014091
Juniperus_recurva,85.57,28.22
Juniperus_recurva,85.3,28.55
Juniperus_recurva,87.15,27.783333
Juniperus_recurva,85.342778,28.106111
Juniperus_recurva,86.735833,27.840556
Juniperus_recurva,83.745278,28.827222
Juniperus_recurva,89.583333,27.483333
Juniperus_recurva,87.5,27.583333
Juniperus_recurva,86.693056,27.828333
Juniperus_recurva,85.233333,28.2
Juniperus_recurva,86.643056,27.848056
Juniperus_recurva,83.866667,29.05
Juniperus_recurva,86.733611,27.825556
Juniperus_recurva,87.8375,27.710833
Juniperus_recurva,88.160556,27.475278
Juniperus_recurva,86.699722,27.809167
Juniperus_recurva,86.712778,27.805278
Juniperus_recurva,87.91871,27.637238
Juniperus_recurva,88.732232,27.678153
Juniperus_recurva,89.782662,27.526107
Juniperus_recurva,85.318062,28.207266
Juniperus_recurva,86.656164,27.834434
Juniperus_recurva,90.43,27.51
Juniperus_recurva,78.948269,30.992399
Juniperus_recurva,87.929267,27.6658
Juniperus_recurva,85.33377,28.11047
Juniperus_recurva,88.085745,27.085651
Juniperus_recurva,85.567476,28.049447
Juniperus_recurva,85.41768,28.1117
Juniperus_recurva,85.26839,28.161373
Juniperus_recurva,84.956276,28.486923
Juniperus_recurva,90.723,27.544
Juniperus_recurva,90.210435,27.438745
Juniperus_recurva,91.826245,27.721356
Juniperus_recurva,89.416365,27.428684
Juniperus_recurva,89.346614,27.369824
Juniperus_recurva,90.508063,27.500227
Juniperus_recurva,85.369162,28.102536
Juniperus_recurva,89.72757,27.9041
Juniperus_recurva,90.035942,27.622612
Juniperus_recurva,89.878372,27.502928
Juniperus_recurva,91.861153,27.300707
Juniperus_recurva,90.190285,27.381218
Juniperus_recurva,85.312972,28.229721
Juniperus_recurva,83.833333,29
Juniperus_recurva,86.721667,27.821667
Juniperus_recurva,87.938341,27.652966
Juniperus_recurva,90.150833,27.448333
Juniperus_recurva,88.45,27.55
Juniperus_recurva,86.64949,27.978048
Juniperus_recurva,85.418917,28.07283
Juniperus_recurva,83.938548,28.253008
Juniperus_recurva,91.74996556,27.8160877
Juniperus_recurva,91.813508,27.955654
Juniperus_recurva,90.7,27.41666667
