species,decimalLongitude,decimalLatitude
Juniperus_saltuaria,99.333333,26.416667
Juniperus_saltuaria,99.83,26.47
Juniperus_saltuaria,99.666667,26.666667
Juniperus_saltuaria,99.28717,27.177166
Juniperus_saltuaria,98.5772,27.6089
Juniperus_saltuaria,98.66582,27.740736
Juniperus_saltuaria,99.706013,27.82308
Juniperus_saltuaria,101.27,27.92
Juniperus_saltuaria,98.911543,28.48611
Juniperus_saltuaria,102.177079,28.549809
Juniperus_saltuaria,99.846944,28.593889
Juniperus_saltuaria,98.92888,28.65277
Juniperus_saltuaria,98.94055,28.66138
Juniperus_saltuaria,99.79929,28.932073
Juniperus_saltuaria,101.507299,29.000343
Juniperus_saltuaria,100.298406,29.037008
Juniperus_saltuaria,99.3342,29.1381
Juniperus_saltuaria,101.52,29.47
Juniperus_saltuaria,103.398589,29.496119
Juniperus_saltuaria,94.6061,29.6037
Juniperus_saltuaria,94.68,29.62
Juniperus_saltuaria,94.36,29.63
Juniperus_saltuaria,98.593111,29.679906
Juniperus_saltuaria,92.754167,29.916111
Juniperus_saltuaria,100.269814,29.99605
Juniperus_saltuaria,99.1,30
Juniperus_saltuaria,99.107741,30.004589
Juniperus_saltuaria,96.91,30.05
Juniperus_saltuaria,101.96483,30.055305
Juniperus_saltuaria,100.83,30.13
Juniperus_saltuaria,97.27,30.15
Juniperus_saltuaria,99.42,30.25
Juniperus_saltuaria,99.55,30.33
Juniperus_saltuaria,102.81464,30.368117
Juniperus_saltuaria,99.5,30.47
Juniperus_saltuaria,100,30.6
Juniperus_saltuaria,102.546111,30.911944
Juniperus_saltuaria,100.311366,30.93917
Juniperus_saltuaria,101.125234,30.979541
Juniperus_saltuaria,102.364372,30.99903
Juniperus_saltuaria,101.33,31
Juniperus_saltuaria,96.97,31.08
Juniperus_saltuaria,97.18,31.13
Juniperus_saltuaria,96.05,31.17
Juniperus_saltuaria,97.05,31.2
Juniperus_saltuaria,96.48,31.22
Juniperus_saltuaria,94.73,31.6
Juniperus_saltuaria,94.97,31.7
Juniperus_saltuaria,98.580912,31.80612
Juniperus_saltuaria,99.12,31.82
Juniperus_saltuaria,99.12,31.87
Juniperus_saltuaria,102.206261,31.905842
Juniperus_saltuaria,100.332738,32.268129
Juniperus_saltuaria,103.6,32.6
Juniperus_saltuaria,103.59895,32.637983
Juniperus_saltuaria,103.83,32.67
Juniperus_saltuaria,102.544402,32.790891
Juniperus_saltuaria,103.67,32.83
Juniperus_saltuaria,103.714722,33.012778
Juniperus_saltuaria,103.72,33.02
Juniperus_saltuaria,103.82,33.85
Juniperus_saltuaria,104.39,34.04
Juniperus_saltuaria,103.507111,34.589587
