species,decimalLongitude,decimalLatitude
Juniperus_squamata,120.29742,23.174894
Juniperus_squamata,104.672252,23.437468
Juniperus_squamata,98.82524,23.763342
Juniperus_squamata,120.987632,23.83876
Juniperus_squamata,102.546204,24.351925
Juniperus_squamata,99.92854,24.580446
Juniperus_squamata,100.709787,24.615701
Juniperus_squamata,102.700013,25.012526
Juniperus_squamata,100.222124,25.584234
Juniperus_squamata,98.966667,25.666667
Juniperus_squamata,105.08,25.67
Juniperus_squamata,99.958012,25.670153
Juniperus_squamata,100.18,25.7
Juniperus_squamata,100.016667,25.766667
Juniperus_squamata,102.593465,25.869611
Juniperus_squamata,99.83,26
Juniperus_squamata,103.176727,26.088547
Juniperus_squamata,98.8,26.383333
Juniperus_squamata,99.416689,26.453601
Juniperus_squamata,99.666667,26.5
Juniperus_squamata,100.17643,26.56023
Juniperus_squamata,102.577962,26.634503
Juniperus_squamata,102.25,26.68
Juniperus_squamata,100.229945,26.876096
Juniperus_squamata,102.930168,26.908457
Juniperus_squamata,100.190167,27.012917
Juniperus_squamata,100.222778,27.150278
Juniperus_squamata,99.28717,27.177166
Juniperus_squamata,98.702222,27.215833
Juniperus_squamata,100.85195,27.2822
Juniperus_squamata,102.539939,27.376188
Juniperus_squamata,101.509187,27.422643
Juniperus_squamata,88.9,27.48
Juniperus_squamata,96.975,27.646389
Juniperus_squamata,96.956944,27.664167
Juniperus_squamata,92.246667,27.667778
Juniperus_squamata,103.248771,27.696857
Juniperus_squamata,99.8,27.7
Juniperus_squamata,89.55,27.7
Juniperus_squamata,99.716667,27.716667
Juniperus_squamata,98.66582,27.740736
Juniperus_squamata,98.442222,27.766944
Juniperus_squamata,99.706013,27.82308
Juniperus_squamata,101.25,27.83
Juniperus_squamata,99.6,27.83
Juniperus_squamata,101,27.833333
Juniperus_squamata,99.6375,27.903889
Juniperus_squamata,99.937778,27.905556
Juniperus_squamata,101.279419,27.928607
Juniperus_squamata,87.22,27.97
Juniperus_squamata,102.84,28.01
Juniperus_squamata,99.498056,28.088333
Juniperus_squamata,83.9,28.1
Juniperus_squamata,85.92,28.17
Juniperus_squamata,85.98,28.2
Juniperus_squamata,85.552222,28.210556
Juniperus_squamata,85.55,28.216667
Juniperus_squamata,85.57,28.22
Juniperus_squamata,88.5,28.23
Juniperus_squamata,90.95,28.3
Juniperus_squamata,90.9,28.35
Juniperus_squamata,87.76,28.36
Juniperus_squamata,89.583333,28.366667
Juniperus_squamata,92.73,28.37
Juniperus_squamata,92.67,28.38
Juniperus_squamata,99.009722,28.384444
Juniperus_squamata,98.911543,28.48611
Juniperus_squamata,98.939722,28.491111
Juniperus_squamata,92.45,28.52
Juniperus_squamata,85.3,28.55
Juniperus_squamata,99.8175,28.568056
Juniperus_squamata,92.5,28.58
Juniperus_squamata,85.109978,28.585183
Juniperus_squamata,84.145278,28.608611
Juniperus_squamata,102.507677,28.6398
Juniperus_squamata,87.12,28.65
Juniperus_squamata,97.46,28.66
Juniperus_squamata,85.72,28.67
Juniperus_squamata,90.45,28.67
Juniperus_squamata,83.68,28.75
Juniperus_squamata,83.85,28.8
Juniperus_squamata,91.02,28.82
Juniperus_squamata,90.55,28.83
Juniperus_squamata,85.29,28.85
Juniperus_squamata,92.1,28.88
Juniperus_squamata,90.92,28.9
Juniperus_squamata,90.57,28.9
Juniperus_squamata,99.79929,28.932073
Juniperus_squamata,85.93,28.95
Juniperus_squamata,90.48,28.97
Juniperus_squamata,94,29
Juniperus_squamata,82.166667,29
Juniperus_squamata,101.507299,29.000343
Juniperus_squamata,92.38,29.03
Juniperus_squamata,100.298406,29.037008
Juniperus_squamata,87.12,29.1
Juniperus_squamata,103.148639,29.160369
Juniperus_squamata,102.359458,29.22787
Juniperus_squamata,85.32,29.23
Juniperus_squamata,86.87,29.27
Juniperus_squamata,92.12,29.28
Juniperus_squamata,91.98,29.3
Juniperus_squamata,90.87,29.32
Juniperus_squamata,95.33,29.32
Juniperus_squamata,90.05,29.33
Juniperus_squamata,89.97,29.33
Juniperus_squamata,91.53,29.37
Juniperus_squamata,86.58,29.47
Juniperus_squamata,103.398589,29.496119
Juniperus_squamata,101.88,29.57
Juniperus_squamata,94.63,29.58
Juniperus_squamata,94.817222,29.598611
Juniperus_squamata,94.728056,29.612778
