species,decimalLongitude,decimalLatitude
Juniperus_tibetica,99.974444,28.248611
Juniperus_tibetica,99.808333,29.796389
Juniperus_tibetica,100.446667,29.773333
Juniperus_tibetica,97.93528,29.500561
Juniperus_tibetica,101.08,32.08
Juniperus_tibetica,98.0292,32.5167
Juniperus_tibetica,96.4194,31.4375
Juniperus_tibetica,96.6053,31.1842
Juniperus_tibetica,97.0233,31.1228
Juniperus_tibetica,87.15,29.15
Juniperus_tibetica,86.866667,29.266667
Juniperus_tibetica,90.88,29.37
Juniperus_tibetica,90.87,29.32
Juniperus_tibetica,86.87,29.27
Juniperus_tibetica,89.97,29.33
Juniperus_tibetica,90.72,29.47
Juniperus_tibetica,91.52,30.28
Juniperus_tibetica,90.45,28.97
Juniperus_tibetica,92.125556,29.291389
Juniperus_tibetica,89.983333,29.35
Juniperus_tibetica,92.12,29.28
Juniperus_tibetica,90.55,28.83
Juniperus_tibetica,90.57,28.9
Juniperus_tibetica,89.95,29.32
Juniperus_tibetica,92.62,29.13
Juniperus_tibetica,90.55,28.85
Juniperus_tibetica,92.13,29.28
Juniperus_tibetica,100.705278,31.696111
Juniperus_tibetica,91.53,29.37
Juniperus_tibetica,91.05,29.67
Juniperus_tibetica,91.98,29.3
Juniperus_tibetica,92.45,29.05
Juniperus_tibetica,93.08,29.08
Juniperus_tibetica,91.1,29.65
Juniperus_tibetica,92.38,29.03
Juniperus_tibetica,97.347222,32.746389
Juniperus_tibetica,97.007222,32.080556
Juniperus_tibetica,97.328889,33.000556
Juniperus_tibetica,97.271667,32.091111
Juniperus_tibetica,96.488333,31.833056
Juniperus_tibetica,96.505556,32.286111
Juniperus_tibetica,96.22,32.27
Juniperus_tibetica,96.67,32.77
Juniperus_tibetica,96.541389,32.299722
Juniperus_tibetica,97.2689,33.0222
Juniperus_tibetica,91.52,30.3
Juniperus_tibetica,90.9,30.37
Juniperus_tibetica,93.2,30.63
Juniperus_tibetica,92.68,28.4
Juniperus_tibetica,97.28,30.68
Juniperus_tibetica,90.9,28.35
Juniperus_tibetica,97.27,30.68
Juniperus_tibetica,97.25,30.33
Juniperus_tibetica,90.53,28.98
Juniperus_tibetica,90.3,28.97
Juniperus_tibetica,93.22,28.98
Juniperus_tibetica,93.22,28.95
Juniperus_tibetica,99.12,31.87
Juniperus_tibetica,96.97,31.08
Juniperus_tibetica,93.57,31.82
Juniperus_tibetica,98.22,31.97
Juniperus_tibetica,97.03,31.12
Juniperus_tibetica,96.95,31.08
Juniperus_tibetica,96.5,31.3
Juniperus_tibetica,99.856389,28.6025
Juniperus_tibetica,99.846944,28.594722
Juniperus_tibetica,99.8,27.7
Juniperus_tibetica,96.91,30.05
Juniperus_tibetica,85.29,28.85
Juniperus_tibetica,87.12,28.65
Juniperus_tibetica,87.33,28.12
Juniperus_tibetica,99.1,30
Juniperus_tibetica,102.206261,31.905842
Juniperus_tibetica,100.97,32.26
Juniperus_tibetica,98.1,32.97
Juniperus_tibetica,103.59895,32.637983
Juniperus_tibetica,97.46,28.66
Juniperus_tibetica,99.79929,28.932073
Juniperus_tibetica,88.9,27.48
Juniperus_tibetica,100.332738,32.268129
Juniperus_tibetica,91.12,29.65
Juniperus_tibetica,101.279419,27.928607
Juniperus_tibetica,98.580912,31.80612
Juniperus_tibetica,93.23,30.64
Juniperus_tibetica,97.56,30.65
Juniperus_tibetica,97.84,29.67
Juniperus_tibetica,97.18,31.13
Juniperus_tibetica,93.67,31.48
Juniperus_tibetica,98.21,31.49
Juniperus_tibetica,95.82,30.74
Juniperus_tibetica,102.544402,32.790891
Juniperus_tibetica,87.76,28.36
Juniperus_tibetica,90.82,28.2
Juniperus_tibetica,90.45,28.85
Juniperus_tibetica,101.125234,30.979541
Juniperus_tibetica,101.96483,30.055305
Juniperus_tibetica,100.676372,31.39179
Juniperus_tibetica,100.311366,30.93917
Juniperus_tibetica,101.865706,30.14136
Juniperus_tibetica,101.96,30.05
Juniperus_tibetica,98.58,31.8
Juniperus_tibetica,100.31,30.93
Juniperus_tibetica,99.99,31.62
Juniperus_tibetica,100.298406,29.037008
Juniperus_tibetica,95.76,29.85
Juniperus_tibetica,97.01,33.01
Juniperus_tibetica,94.37,32.95
Juniperus_tibetica,103.59,32.63
Juniperus_tibetica,91.26,29.89
Juniperus_tibetica,101.27,27.92
Juniperus_tibetica,102.364372,30.99903
Juniperus_tibetica,102.36,30.99
Juniperus_tibetica,96.224624,32.272311
Juniperus_tibetica,103.75,33.92
Juniperus_tibetica,103.6,32.64
